iter	RMSE
0	73632.70192
1	69409.05683
2	65416.31517
3	61462.17666
4	57979.91205
5	55025.42816
6	52007.48228
7	49811.10252
8	47463.35756
9	45179.36624
10	43370.4149
11	41626.17222
12	40017.08919
13	38558.53576
14	37136.95261
15	35879.69085
16	34838.35797
17	33913.30799
18	32891.24126
19	32023.61684
20	31083.40341
21	30146.5623
22	29397.09504
23	28705.09552
24	28146.42255
25	27569.60337
26	27084.33114
27	26625.39277
28	26181.86024
29	25789.02456
30	25389.89272
31	24981.28702
32	24718.5859
33	24326.96995
34	23987.92923
35	23664.3598
36	23485.37029
37	23182.12248
38	22951.97987
39	22645.08572
40	22312.59453
41	22116.77976
42	21841.31965
43	21607.85161
44	21432.05731
45	21237.92408
46	21093.85645
47	20871.86237
48	20710.29208
49	20588.07871
50	20438.74194
51	20349.18042
52	20152.65133
53	20050.85811
54	19828.35309
55	19723.33658
56	19597.60419
57	19378.84052
58	19256.04612
59	19193.45849
60	19041.30603
61	18925.53708
62	18873.34385
63	18696.10982
64	18642.49181
65	18519.00999
66	18498.2171
67	18449.50252
68	18389.30296
69	18222.1396
70	18075.68016
71	17937.79126
72	17904.84353
73	17781.52784
74	17734.54261
75	17655.70773
76	17612.58394
77	17484.46432
78	17379.91785
79	17269.21438
80	17223.29964
81	17096.49884
82	17021.78837
83	16922.89035
84	16839.05033
85	16717.11017
86	16650.97666
87	16624.26346
88	16590.39279
89	16565.43992
90	16545.776
91	16465.54126
92	16352.44332
93	16242.89614
94	16220.35551
95	16141.13534
96	16068.90462
97	15984.86295
98	15888.4799
99	15861.50697
