iter	Passed	Remaining
0	2	257
1	4	237
2	7	236
3	9	228
4	11	227
5	14	225
6	16	223
7	19	220
8	21	217
9	24	216
10	26	212
11	28	211
12	31	208
13	33	206
14	36	205
15	38	201
16	40	199
17	43	196
18	45	193
19	47	191
20	50	189
21	52	187
22	55	184
23	57	181
24	59	179
25	62	177
26	64	175
27	67	172
28	69	169
29	71	167
30	74	165
31	76	162
32	78	160
33	81	157
34	83	155
35	85	152
36	88	150
37	90	147
38	92	145
39	95	142
40	97	140
41	100	138
42	102	135
43	104	132
44	106	130
45	109	127
46	111	125
47	113	123
48	116	121
49	118	118
50	121	116
51	123	114
52	126	111
53	128	109
54	131	107
55	133	104
56	136	102
57	138	100
58	140	97
59	142	95
60	144	92
61	148	90
62	150	88
63	154	86
64	156	84
65	158	81
66	161	79
67	163	76
68	165	74
69	167	71
70	170	69
71	172	67
72	174	64
73	177	62
74	179	59
75	182	57
76	184	55
77	186	52
78	188	50
79	191	47
80	193	45
81	195	42
82	198	40
83	200	38
84	202	35
85	205	33
86	207	31
87	209	28
88	212	26
89	214	23
90	216	21
91	219	19
92	221	16
93	223	14
94	226	11
95	228	9
96	231	7
97	233	4
98	235	2
99	237	0
